clade_name	reERR5004402_taxonomic_profile	reERR5004403_taxonomic_profile	reERR5004404_taxonomic_profile	reERR5004405_taxonomic_profile	reERR5004406_taxonomic_profile	reERR5004407_taxonomic_profile	reERR5004408_taxonomic_profile	reERR5004409_taxonomic_profile	reERR5004410_taxonomic_profile	reERR5004787_taxonomic_profile	reERR5004789_taxonomic_profile	reERR5004790_taxonomic_profile	reERR5004793_taxonomic_profile	reERR5004796_taxonomic_profile	reERR5004798_taxonomic_profile	reERR5004799_taxonomic_profile	reERR5004803_taxonomic_profile	reERR5004804_taxonomic_profile	reERR5004806_taxonomic_profile	reERR5004807_taxonomic_profile
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halobaculum|s__Unclassified_Halobaculum	0	0	0	0	0	0	0	0	0	0.0751964507275257	0	0.135685210312076	0	0	0	0	0.139275766016713	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halobaculum|s__Unclassified_Halobaculum|t__	0	0	0	0	0	0	0	0	0	0.0751964507275257	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halobellus	0	0	0	0	0	0	0	0	0	0.579012670601948	0	0.135685210312076	0.303951367781155	0.444444444444444	0	0.38265306122449	0.905292479108635	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halobellus|s__Halobacteriaceae_archaeon_CSW2.24.4	0	0	0	0	0	0	0	0	0	0.297025980373726	0	0	0.303951367781155	0.444444444444444	0	0.255102040816327	0.20891364902507	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halobellus|s__Halobacteriaceae_archaeon_CSW2.24.4|t__Unclassified_Halobacteriaceae_archaeon_CSW2.24.4	0	0	0	0	0	0	0	0	0	0.297025980373726	0	0	0	0.444444444444444	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halobellus|s__Halobellus_clavatus	0	0	0	0	0	0	0	0	0	0.0150392901455051	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halobellus|s__Halobellus_clavatus|t__Unclassified_Halobellus_clavatus	0	0	0	0	0	0	0	0	0	0.0150392901455051	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halobellus|s__Unclassified_Halobellus	0	0	0	0	0	0	0	0	0	0.0187991126818814	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halobellus|s__Unclassified_Halobellus|t__	0	0	0	0	0	0	0	0	0	0.0187991126818814	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halobellus|s__archaeon_RC18	0	0	0	0	0	0	0	0	0	0.248148287400835	0	0.135685210312076	0	0	0	0.127551020408163	0.696378830083565	0	0	0
