clade_name	NCBI_tax_id	reERR5004807_taxonomic_profile	reERR5004806_taxonomic_profile	reERR5004804_taxonomic_profile	reERR5004803_taxonomic_profile	reERR5004799_taxonomic_profile	reERR5004798_taxonomic_profile	reERR5004796_taxonomic_profile	reERR5004793_taxonomic_profile	reERR5004790_taxonomic_profile	reERR5004789_taxonomic_profile	reERR5004787_taxonomic_profile	reERR5004410_taxonomic_profile	reERR5004409_taxonomic_profile	reERR5004408_taxonomic_profile	reERR5004407_taxonomic_profile	reERR5004406_taxonomic_profile	reERR5004405_taxonomic_profile	reERR5004404_taxonomic_profile	reERR5004403_taxonomic_profile	reERR5004402_taxonomic_profile
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Haloplanus|s__Haloplanus_rubicundus	2157|28890|183963|1644055|1644056|376170|1547898	0	0	0	0.056943605177324434	0.5351612436722875	0	0.3102711449410411	0	0	0	0.665022237037919	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Haloplanus|s__Haloplanus_rubicundus|t__SGB23427	2157|28890|183963|1644055|1644056|376170|1547898|SGB23427	0	0	0	0.056943605177324434	0.5351612436722875	0	0.3102711449410411	0	0	0	0.665022237037919	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Haloplanus|s__Haloplanus_salinus	2157|28890|183963|1644055|1644056|376170|1126245	0	0	0	0	0	0	0	0	0	0	0.006082563340855125	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Haloplanus|s__Haloplanus_salinus|t__SGB23428	2157|28890|183963|1644055|1644056|376170|1126245|SGB23428	0	0	0	0	0	0	0	0	0	0	0.006082563340855125	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae	2157|28890|183963|1644055|1963271	0	0	0	8.289035939100545	7.507713612859467	2.8104113728144102	1.0178121845027548	0	0	2.8451261242019337	5.2463523556892975	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halohasta	2157|28890|183963|1644055|1963271|1450140	0	0	0	0.10257561060501977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halohasta|s__Halohasta_SGB85995	2157|28890|183963|1644055|1963271|1450140|89766464	0	0	0	0.10257561060501977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halohasta|s__Halohasta_SGB85995|t__SGB85995	2157|28890|183963|1644055|1963271|1450140|89766464|SGB85995	0	0	0	0.10257561060501977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halolamina	2157|28890|183963|1644055|1963271|1075397	0	0	0	0	0.03354122622807613	0	0	0	0	0	0.05947211414499861	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halolamina|s__Halolamina_sediminis	2157|28890|183963|1644055|1963271|1075397|1480675	0	0	0	0	0.03354122622807613	0	0	0	0	0	0.05947211414499861	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halolamina|s__Halolamina_sediminis|t__SGB33503	2157|28890|183963|1644055|1963271|1075397|1480675|SGB33503	0	0	0	0	0.03354122622807613	0	0	0	0	0	0.05947211414499861	0	0	0	0	0	0	0	0	0
