centrifuge	gtdbtk	kraken	metaphlan2	metaphlan3	metaphlan4	metaxa2	mOTUs3	phylophlan3	key
12059		12059	12059	12059					12059
120652	120652	120652	120652	120652	120652	120652	120652	120652	120652
	1206748		1206748	1206748	1206748			1206748	1206748
				1207070	1207070		1207070	1207070	1207070
120831	120831	120831	120831	120831	120831	120831	120831	120831	120831
12091		12091	12091	12091					12091
1209327	1209327	1209327		1209327	1209327			1209327	1209327
120961	120961	120961	120961	120961	120961	120961	120961	120961	120961
1209946	1209946	1209946		1209946	1209946		1209946	1209946	1209946
1209988	1209988	1209988		1209988	1209988		1209988	1209988	1209988
	1210116				1210116				1210116
	1210119			1210119	1210119		1210119	1210119	1210119
12103		12103	12103	12103					12103
	121038				121038	121038	121038	121038	121038
12109		12109	12109	12109					12109
	1211036			1211036	1211036		1211036	1211036	1211036
1213379		1213379	1213379	1213379					1213379
12137		12137	12137	12137					12137
	1213720		1213720	1213720	1213720		1213720	1213720	1213720
	1214					1214			1214
12141		12141	12141	12141					12141
12148		12148	12148	12148					12148
	1215913			1215913	1215913			1215913	1215913
12160		12160	12160	12160					12160
12163		12163	12163	12163					12163
	1217101			1217101	1217101			1217101	1217101
12174		12174	12174	12174					12174
	1217414			1217414	1217414			1217414	1217414
							1217415	1217415	1217415
1217416	1217416	1217416		1217416	1217416		1217416	1217416	1217416
12176		12176	12176	12176					12176
1218	1218	1218	1218	1218	1218	1218	1218	1218	1218
	121820			121820	121820	121820	121820	121820	121820
1218487		1218487	1218487	1218487					1218487
1218489		1218489	1218489	1218489					1218489
121871	121871	121871	121871	121871	121871	121871	121871	121871	121871
	1218803				1218803		1218803	1218803	1218803
12195		12195	12195	12195					12195
	1220599				1220599				1220599
	1221209				1221209		1221209	1221209	1221209
1221880	1221880	1221880		1221880	1221880		1221880	1221880	1221880
	1222		1222	1222	1222	1222	1222	1222	1222
122277	122277	122277	122277	122277	122277	122277	122277	122277	122277
	1223303			1223303	1223303			1223303	1223303
12234		12234	12234	12234					12234
1223423	1223423	1223423			1223423		1223423	1223423	1223423
12258		12258	12258	12258					12258
12266		12266	12266	12266					12266
12269		12269	12269	12269					12269
1227	1227	1227	1227	1227	1227	1227	1227	1227	1227
12270		12270	12270	12270					12270
	1227948				1227948				1227948
12289		12289	12289	12289					12289
12291		12291	12291	12291					12291
12293		12293	12293	12293					12293
1229970	1229970	1229970		1229970	1229970			1229970	1229970
123	123	123	123	123	123	123	123	123	123
12300		12300	12300	12300					12300
1230390		1230390	1230390	1230390					1230390
12304		12304	12304	12304					12304
1230698	1230698	1230698			1230698	1230698			1230698
1231242	1231242	1231242		1231242	1231242				1231242
12316		12316	12316	12316					12316
				1232	1232		1232	1232	1232
12320		12320	12320	12320					12320
12326		12326	12326	12326					12326
1232637		1232637							1232637
1232640		1232640	1232640	1232640					1232640
		1232647							1232647
1232658		1232658							1232658
1232738		1232738							1232738
1232754		1232754	1232754	1232754					1232754
12329		12329	12329	12329					12329
	1233054			1233054	1233054		1233054	1233054	1233054
	1233426			1233426			1233426		1233426
			123375	123375	123375	123375	123375	123375	123375
1234	1234	1234	1234	1234	1234	1234	1234	1234	1234
1234545	1234545	1234545		1234545	1234545			1234545	1234545
			1234605		1234605		1234605	1234605	1234605
	1235438								1235438
	1236218			1236218	1236218		1236218	1236218	1236218
	1236988			1236988	1236988		1236988	1236988	1236988
1237	1237	1237	1237	1237	1237	1237	1237	1237	1237
	1237104				1237104				1237104
	1240886				1240886				1240886
	1241326				1241326	1241326			1241326
	124224				124224	124224	124224	124224	124224
							1242734		1242734
1243	1243	1243	1243	1243	1243	1243	1243	1243	1243
	1245590			1245590	1245590		1245590	1245590	1245590
	1246635			1246635	1246635		1246635	1246635	1246635
					1246884				1246884
1249016	1249016	1249016			1249016			1249016	1249016
	1249554			1249554	1249554			1249554	1249554
125216	125216	125216	125216	125216	125216	125216	125216	125216	125216
125287	125287	125287	125287	125287	125287	125287	125287	125287	125287
1253	1253	1253	1253	1253	1253	1253	1253	1253	1253
	1254401			1254401	1254401		1254401	1254401	1254401
	1255275			1255275	1255275			1255275	1255275
	1257		1257	1257	1257	1257	1257	1257	1257
	1258570				1258570				1258570
	1259734			1259734	1259734			1259734	1259734
