centrifuge	gtdbtk	kraken	metaphlan2	metaphlan3	metaphlan4	metaxa2	mOTUs3	phylophlan3	key
				o__bacteroidia_unclassified					o__bacteroidia_unclassified
					o__balneolaeota_unclassified			o__balneolaeota_unclassified	o__balneolaeota_unclassified
				o__bathyarchaeota_unclassified	o__bathyarchaeota_unclassified				o__bathyarchaeota_unclassified
	o__bd1-5								o__bd1-5
	o__berkiellales								o__berkiellales
							o__betaproteobacteria order incertae sedis		o__betaproteobacteria order incertae sedis
			o__betaproteobacteria_noname						o__betaproteobacteria_noname
				o__betaproteobacteria_unclassified	o__betaproteobacteria_unclassified			o__betaproteobacteria_unclassified	o__betaproteobacteria_unclassified
	o__bin125								o__bin125
	o__bin18								o__bin18
	o__bin61								o__bin61
	o__bin65								o__bin65
	o__bin95								o__bin95
	o__bin98								o__bin98
	o__bipolaricaulales								o__bipolaricaulales
					o__bipolaricaulota_unclassified				o__bipolaricaulota_unclassified
							o__blastocatellia order incertae sedis		o__blastocatellia order incertae sedis
				o__blastocatellia_unclassified	o__blastocatellia_unclassified			o__blastocatellia_unclassified	o__blastocatellia_unclassified
	o__bm002								o__bm002
	o__bm003								o__bm003
	o__bm507								o__bm507
	o__bms3abin01								o__bms3abin01
	o__bms3abin14								o__bms3abin14
	o__bms3bbin04								o__bms3bbin04
	o__bog-38								o__bog-38
	o__bog-932								o__bog-932
	o__borreliales								o__borreliales
	o__brevibacillales								o__brevibacillales
	o__bs150m-g59								o__bs150m-g59
	o__bs750m-g25								o__bs750m-g25
	o__bs750m-g34								o__bs750m-g34
	o__bsn033								o__bsn033
	o__bu12								o__bu12
	o__bu52								o__bu52
	o__buchananbacterales								o__buchananbacterales
					o__buchananbacteria_unclassified				o__buchananbacteria_unclassified
	o__c00003060								o__c00003060
						o__c178b			o__c178b
	o__cabmep01								o__cabmep01
	o__cacew01								o__cacew01
	o__caciam-22h2								o__caciam-22h2
	o__caciam-69d								o__caciam-69d
	o__cacjxq01								o__cacjxq01
	o__cadaex01								o__cadaex01
	o__cadawz01								o__cadawz01
	o__caddzg01								o__caddzg01
	o__caddzv01								o__caddzv01
	o__cadegl01								o__cadegl01
	o__caedimonadales								o__caedimonadales
	o__caijmq01								o__caijmq01
	o__caikkv01								o__caikkv01
	o__cailad01								o__cailad01
	o__cailah01								o__cailah01
	o__cailib01								o__cailib01
	o__cailmk01								o__cailmk01
	o__caimux01								o__caimux01
	o__cainfc01								o__cainfc01
	o__caipta01								o__caipta01
	o__caiqbe01								o__caiqbe01
	o__cairsr01								o__cairsr01
	o__cairyl01								o__cairyl01
	o__caisdr01								o__caisdr01
	o__caisog01								o__caisog01
	o__caisue01								o__caisue01
	o__caiucs01								o__caiucs01
	o__caiuev01								o__caiuev01
	o__caiupp01								o__caiupp01
	o__caivpw01								o__caivpw01
	o__caiwad01								o__caiwad01
	o__caiwxx01								o__caiwxx01
	o__caixnz01								o__caixnz01
	o__caixzc01								o__caixzc01
	o__caiycz01								o__caiycz01
	o__caiyqo01								o__caiyqo01
	o__caiyyt01								o__caiyyt01
	o__cajbmm01								o__cajbmm01
	o__cajfee01								o__cajfee01
	o__cajqne01								o__cajqne01
	o__caldalkalibacillales								o__caldalkalibacillales
	o__caldarchaeales								o__caldarchaeales
	o__calderihabitantales								o__calderihabitantales
						o__caldiarchaeum			o__caldiarchaeum
	o__caldicellulosiruptorales								o__caldicellulosiruptorales
	o__caldicoprobacterales								o__caldicoprobacterales
	o__calditerricolales								o__calditerricolales
					o__calescamantes_unclassified				o__calescamantes_unclassified
	o__calescibacteriales								o__calescibacteriales
							o__candidate division cpr1 order incertae sedis		o__candidate division cpr1 order incertae sedis
							o__candidate division cpr3 order incertae sedis		o__candidate division cpr3 order incertae sedis
