centrifuge	gtdbtk	kraken	metaphlan2	metaphlan3	metaphlan4	metaxa2	mOTUs3	phylophlan3	key
							(117747/1236)		(117747/1236)
							(117747/1853228)		(117747/1853228)
							(1236/1760)		(1236/1760)
							(1236/28211)		(1236/28211)
							(1236/28216)		(1236/28216)
							(1737404/186801)		(1737404/186801)
							(1760/768503)		(1760/768503)
							(1760/91061)		(1760/91061)
							(1807140/28216)		(1807140/28216)
							(183967/224756)		(183967/224756)
							(186801/526524)		(186801/526524)
							(186801/909932)		(186801/909932)
							(186801/91061)		(186801/91061)
							(200643/204429)		(200643/204429)
							(2008785/28216)		(2008785/28216)
							(28211/91061)		(28211/91061)
							(909932/91061)		(909932/91061)
							c__candidatus spechtbacteria class incertae sedis		c__candidatus spechtbacteria class incertae sedis
							c__candidatus staskawiczbacteria class incertae sedis		c__candidatus staskawiczbacteria class incertae sedis
							c__candidatus sungbacteria class incertae sedis		c__candidatus sungbacteria class incertae sedis
							c__candidatus taylorbacteria class incertae sedis		c__candidatus taylorbacteria class incertae sedis
							c__candidatus thorarchaeota class incertae sedis		c__candidatus thorarchaeota class incertae sedis
							c__candidatus uhrbacteria class incertae sedis		c__candidatus uhrbacteria class incertae sedis
							c__candidatus vogelbacteria class incertae sedis		c__candidatus vogelbacteria class incertae sedis
							c__candidatus wallbacteria class incertae sedis		c__candidatus wallbacteria class incertae sedis
							c__candidatus wildermuthbacteria class incertae sedis		c__candidatus wildermuthbacteria class incertae sedis
							c__candidatus wirthbacteria class incertae sedis		c__candidatus wirthbacteria class incertae sedis
							c__candidatus woesearchaeota class incertae sedis		c__candidatus woesearchaeota class incertae sedis
							c__candidatus woesebacteria class incertae sedis		c__candidatus woesebacteria class incertae sedis
							c__candidatus wolfebacteria class incertae sedis		c__candidatus wolfebacteria class incertae sedis
							c__candidatus woykebacteria class incertae sedis		c__candidatus woykebacteria class incertae sedis
							c__candidatus yanofskybacteria class incertae sedis		c__candidatus yanofskybacteria class incertae sedis
							c__candidatus yonathbacteria class incertae sedis		c__candidatus yonathbacteria class incertae sedis
							c__candidatus zambryskibacteria class incertae sedis		c__candidatus zambryskibacteria class incertae sedis
								c__candidatus_aerophobetes_unclassified	c__candidatus_aerophobetes_unclassified
								c__candidatus_altiarchaeota_unclassified	c__candidatus_altiarchaeota_unclassified
								c__candidatus_aminicenantes_unclassified	c__candidatus_aminicenantes_unclassified
								c__candidatus_atribacteria_unclassified	c__candidatus_atribacteria_unclassified
								c__candidatus_bathyarchaeota_unclassified	c__candidatus_bathyarchaeota_unclassified
								c__candidatus_bipolaricaulota_unclassified	c__candidatus_bipolaricaulota_unclassified
								c__candidatus_calescamantes_unclassified	c__candidatus_calescamantes_unclassified
								c__candidatus_cloacimonetes_unclassified	c__candidatus_cloacimonetes_unclassified
								c__candidatus_diapherotrites_unclassified	c__candidatus_diapherotrites_unclassified
								c__candidatus_eremiobacteraeota_unclassified	c__candidatus_eremiobacteraeota_unclassified
								c__candidatus_gracilibacteria_unclassified	c__candidatus_gracilibacteria_unclassified
								c__candidatus_hydrogenedentes_unclassified	c__candidatus_hydrogenedentes_unclassified
								c__candidatus_korarchaeota_unclassified	c__candidatus_korarchaeota_unclassified
								c__candidatus_kryptonia_unclassified	c__candidatus_kryptonia_unclassified
								c__candidatus_latescibacteria_unclassified	c__candidatus_latescibacteria_unclassified
								c__candidatus_marinimicrobia_unclassified	c__candidatus_marinimicrobia_unclassified
								c__candidatus_melainabacteria_unclassified	c__candidatus_melainabacteria_unclassified
								c__candidatus_micrarchaeota_unclassified	c__candidatus_micrarchaeota_unclassified
								c__candidatus_microgenomates_unclassified	c__candidatus_microgenomates_unclassified
								c__candidatus_omnitrophica_unclassified	c__candidatus_omnitrophica_unclassified
								c__candidatus_parcubacteria_unclassified	c__candidatus_parcubacteria_unclassified
								c__candidatus_poribacteria_unclassified	c__candidatus_poribacteria_unclassified
								c__candidatus_saccharibacteria_unclassified	c__candidatus_saccharibacteria_unclassified
								c__candidatus_tectomicrobia_unclassified	c__candidatus_tectomicrobia_unclassified
						c__cf2			c__cf2
								c__cfgb1	c__cfgb1
								c__cfgb10000	c__cfgb10000
								c__cfgb10001	c__cfgb10001
								c__cfgb10002	c__cfgb10002
								c__cfgb10003	c__cfgb10003
								c__cfgb10004	c__cfgb10004
					c__cfgb10005			c__cfgb10005	c__cfgb10005
								c__cfgb10007	c__cfgb10007
								c__cfgb10014	c__cfgb10014
								c__cfgb10015	c__cfgb10015
								c__cfgb10016	c__cfgb10016
								c__cfgb10017	c__cfgb10017
								c__cfgb10019	c__cfgb10019
								c__cfgb10021	c__cfgb10021
								c__cfgb10022	c__cfgb10022
								c__cfgb10025	c__cfgb10025
					c__cfgb10026			c__cfgb10026	c__cfgb10026
								c__cfgb10027	c__cfgb10027
								c__cfgb10028	c__cfgb10028
								c__cfgb10029	c__cfgb10029
								c__cfgb1003	c__cfgb1003
								c__cfgb10030	c__cfgb10030
								c__cfgb10031	c__cfgb10031
								c__cfgb10032	c__cfgb10032
								c__cfgb10033	c__cfgb10033
								c__cfgb10034	c__cfgb10034
								c__cfgb10035	c__cfgb10035
								c__cfgb10036	c__cfgb10036
								c__cfgb10037	c__cfgb10037
					c__cfgb10039			c__cfgb10039	c__cfgb10039
								c__cfgb10040	c__cfgb10040
								c__cfgb10041	c__cfgb10041
					c__cfgb10044			c__cfgb10044	c__cfgb10044
					c__cfgb10045			c__cfgb10045	c__cfgb10045
								c__cfgb10046	c__cfgb10046
								c__cfgb1005	c__cfgb1005
								c__cfgb10051	c__cfgb10051
					c__cfgb10055			c__cfgb10055	c__cfgb10055
					c__cfgb10056			c__cfgb10056	c__cfgb10056
					c__cfgb10057			c__cfgb10057	c__cfgb10057
					c__cfgb10067			c__cfgb10067	c__cfgb10067
								c__cfgb10068	c__cfgb10068
								c__cfgb10069	c__cfgb10069
								c__cfgb10070	c__cfgb10070
								c__cfgb10071	c__cfgb10071
								c__cfgb10072	c__cfgb10072
								c__cfgb10074	c__cfgb10074
								c__cfgb10076	c__cfgb10076
								c__cfgb10079	c__cfgb10079
								c__cfgb10080	c__cfgb10080
					c__cfgb10083			c__cfgb10083	c__cfgb10083
					c__cfgb10084			c__cfgb10084	c__cfgb10084
								c__cfgb10087	c__cfgb10087
								c__cfgb1009	c__cfgb1009
