centrifuge	gtdbtk	kraken	metaphlan2	metaphlan3	metaphlan4	metaxa2	mOTUs3	phylophlan3	key
							(1410627/877420)		(1410627/877420)
							(1410628/1855374)		(1410628/1855374)
							(141390/158080)		(141390/158080)
							(1414720/84024)		(1414720/84024)
							(1414727/373668)		(1414727/373668)
							(1415755/1610576)		(1415755/1610576)
							(141692/280240)		(141692/280240)
							(1421/28031)		(1421/28031)
							(1421/28031/309788)		(1421/28031/309788)
							(1421430/198620/294/321662)		(1421430/198620/294/321662)
							(1422/1462/213419/33938/33941)		(1422/1462/213419/33938/33941)
							(1428448/1428449)		(1428448/1428449)
							(1428626/146922)		(1428626/146922)
							(1434102/1434103)		(1434102/1434103)
							(1435036/595670)		(1435036/595670)
							(1437453/68192)		(1437453/68192)
							(1441714/1615673/1615674/169669/200450/294/29442/298/321846/47878/47883/75588/915099)		(1441714/1615673/1615674/169669/200450/294/29442/298/321846/47878/47883/75588/915099)
							(1444711/389348)		(1444711/389348)
							(1444712/1895742)		(1444712/1895742)
							(1449044/1736342)		(1449044/1736342)
							(1449065/1798191/1881066)		(1449065/1798191/1881066)
							(1449068/1736300/1736310)		(1449068/1736300/1736310)
							(1452536/1452537)		(1452536/1452537)
							(145285/184756/356147)		(145285/184756/356147)
							(1457141/83554)		(1457141/83554)
							(1457153/817)		(1457153/817)
							(1460634/1460636)		(1460634/1460636)
							(1460635/1460649)		(1460635/1460649)
							(1460639/1460640/1460653)		(1460639/1460640/1460653)
							(1460641/1481929)		(1460641/1481929)
							(1463827/1463878/1463879)		(1463827/1463878/1463879)
							(1463854/1463892)		(1463854/1463892)
							(1463855/552354)		(1463855/552354)
							(1463863/1463865/1463866/1463868/1463890/1519476/1519496/1519498/1550033/1561022)		(1463863/1463865/1463866/1463868/1463890/1519476/1519496/1519498/1550033/1561022)
							(1463864/1839764/355249/465543/591157/683219)		(1463864/1839764/355249/465543/591157/683219)
							(1463880/1519493)		(1463880/1519493)
							(1463883/1463900)		(1463883/1463900)
							(1463908/1463909/1463911)		(1463908/1463909/1463911)
							(1464048/285676/356851)		(1464048/285676/356851)
							(1464077/1911/1935/1954/1960/67281/67351/68201)		(1464077/1911/1935/1954/1960/67281/67351/68201)
							(1465826/938278)		(1465826/938278)
							(146819/1888/1892/1908/1911/518642/66872/66883/67269/67294/68173/68202/68237)		(146819/1888/1892/1908/1911/518642/66872/66883/67269/67294/68173/68202/68237)
							(146820/1930/42235)		(146820/1930/42235)
							(1469613/1609966)		(1469613/1609966)
							(1470345/246787/329854)		(1470345/246787/329854)
							(1470558/1619952)		(1470558/1619952)
							(1471440/1471457/1471462/1471463/1471465/1471468/1471472/1471474/1471480/1471488/1471490/1471499/1471500/1471521/1471525/1471531)		(1471440/1471457/1471462/1471463/1471465/1471468/1471472/1471474/1471480/1471488/1471490/1471499/1471500/1471521/1471525/1471531)
							(1471450/1471487/1471517/1924285/1924286/1924287)		(1471450/1471487/1471517/1924285/1924286/1924287)
							(1471456/1961087)		(1471456/1961087)
							(1471461/1471464/1471466/1471473/1471478/1471485/1471497/1471501/1471502)		(1471461/1471464/1471466/1471473/1471478/1471485/1471497/1471501/1471502)
							(1477000/1756987)		(1477000/1756987)
							(1478174/1478175)		(1478174/1478175)
							(1479238/1666904)		(1479238/1666904)
							(1481663/666/674)		(1481663/666/674)
							(1483597/1483598/1483599/1483600/1483601/1483602)		(1483597/1483598/1483599/1483600/1483601/1483602)
							(148448/229731)		(148448/229731)
							(1487/1736/53442)		(1487/1736/53442)
							(1490052/1490057/1769293/1895648)		(1490052/1490057/1769293/1895648)
							(1491/1542/1776385)		(1491/1542/1776385)
							(1491/29363)		(1491/29363)
							(1494964/1552123)		(1494964/1552123)
							(1496/1522)		(1496/1522)
							(1496690/1509405)		(1496690/1509405)
							(1499107/1538639)		(1499107/1538639)
							(1499499/1499500)		(1499499/1499500)
							(1499502/1499503/1499504)		(1499502/1499503/1499504)
							(1499968/1884375/1921144)		(1499968/1884375/1921144)
							(1500257/1500300)		(1500257/1500300)
							(1500262/1500265)		(1500262/1500265)
							(1500270/1500275/1500276/1700846)		(1500270/1500275/1500276/1700846)
							(1500288/1742858)		(1500288/1742858)
							(1500289/1500293)		(1500289/1500293)
							(1500294/1500296)		(1500294/1500296)
							(1500308/1736519/1736520)		(1500308/1736519/1736520)
							(150123/199709)		(150123/199709)
							(1501230/189691)		(1501230/189691)
							(1501391/1871003)		(1501391/1871003)
							(1501392/1686296)		(1501392/1686296)
							(1502289/1502291/1502292/1502293/1503183)		(1502289/1502291/1502292/1502293/1503183)
							(150248/33934)		(150248/33934)
							(1502764/1761875)		(1502764/1761875)
							(1502772/1761761)		(1502772/1761761)
							(1502774/1798239)		(1502774/1798239)
							(1503055/152480/292/488446/488732/60552/95486)		(1503055/152480/292/488446/488732/60552/95486)
							(1504981/550984)		(1504981/550984)
							(1506587/179879/1904757/292/482957/488447/488729/488731/60550/95485/95486)		(1506587/179879/1904757/292/482957/488447/488729/488731/60550/95485/95486)
							(1511/745369)		(1511/745369)
							(1515615/1515617)		(1515615/1515617)
							(1519439/1897028)		(1519439/1897028)
							(1520580/403935)		(1520580/403935)
							(1520804/1798168)		(1520804/1798168)
							(1520822/1855375)		(1520822/1855375)
							(1522002/1892869)		(1522002/1892869)
							(1522072/1802170/1843368)		(1522072/1802170/1843368)
							(152297/162157/228/43659/43660)		(152297/162157/228/43659/43660)
							(1523416/1842535)		(1523416/1842535)
							(1523424/1523431)		(1523424/1523431)
							(1523429/1842536)		(1523429/1842536)
							(1524462/1524463/1524464)		(1524462/1524463/1524464)
							(1524467/1532556)		(1524467/1532556)
							(1524974/1608994)		(1524974/1608994)
							(152500/292)		(152500/292)
							(152682/1549858/86188)		(152682/1549858/86188)
							(1529005/1895824)		(1529005/1895824)
							(1529069/1896175)		(1529069/1896175)
							(1531/208479)		(1531/208479)
							(1531959/1629715)		(1531959/1629715)
							(1534743/190895/669/680/696485/766224)		(1534743/190895/669/680/696485/766224)
							(1535242/29449)		(1535242/29449)
							(1535750/1811386/414750)		(1535750/1811386/414750)
							(1537994/1538096)		(1537994/1538096)
							(1538/1705578/217158/84023)		(1538/1705578/217158/84023)
							(1538095/1761899)		(1538095/1761899)
							(1538158/384)		(1538158/384)
							(1538553/421)		(1538553/421)
							(1539063/1539066)		(1539063/1539066)
							(1547597/1720195)		(1547597/1720195)
							(1548/332101)		(1548/332101)
							(1549850/1915319)		(1549850/1915319)
							(1551/36839/84029)		(1551/36839/84029)
							(155515/155517)		(155515/155517)
							(1561003/1561004)		(1561003/1561004)
							(1561205/1561206/579484)		(1561205/1561206/579484)
							(156205/195088/240302)		(156205/195088/240302)
							(1562970/1627894)		(1562970/1627894)
							(156453/1971)		(156453/1971)
							(1566/42471)		(1566/42471)
							(1566022/1566023)		(1566022/1566023)
							(1566198/1566199/1566203/1566222/1566237/1881017)		(1566198/1566199/1566203/1566222/1566237/1881017)
							(1566261/1736330/1736335)		(1566261/1736330/1736335)
							(1566273/1566274/1566275/1884384)		(1566273/1566274/1566275/1884384)
							(1567106/1616788)		(1567106/1616788)
							(1570/396056)		(1570/396056)
							(1572758/85643)		(1572758/85643)
							(157673/653940)		(157673/653940)
							(1577588/1609102/1609103)		(1577588/1609102/1609103)
							(157782/303/47880)		(157782/303/47880)
							(1580/1581/1588)		(1580/1581/1588)
							(1580/304207)		(1580/304207)
							(1581038/1712028)		(1581038/1712028)
							(1581095/1643451/1895843/1933220)		(1581095/1643451/1895843/1933220)
							(1581119/1739295)		(1581119/1739295)
							(1581129/1739333/1739396)		(1581129/1739333/1739396)
							(1581130/1739261)		(1581130/1739261)
							(1581138/1720193/1906332/702967)		(1581138/1720193/1906332/702967)
							(1582/1597)		(1582/1597)
							(1582/57037)		(1582/57037)
							(1583098/851)		(1583098/851)
							(1583099/1588031)		(1583099/1588031)
