Taxa	TaxID
k__bacteria|p__proteobacteria|c__gammaproteobacteria|o__pseudomonadales|f__pseudomonadaceae|g__pseudomonas|s__pseudomonas_fluorescens	2|1224|1236|72274|135621|286|294
k__bacteria|p__proteobacteria|c__gammaproteobacteria|o__pseudomonadales|f__pseudomonadaceae|g__pseudomonas|s__pseudomonas_fragi	2|1224|1236|72274|135621|286|296
k__bacteria|p__proteobacteria|c__hydrogenophilalia|o__hydrogenophilales|f__hydrogenophilaceae|g__hydrogenophilus|s__hydrogenophilus_thermoluteolus	2|1224|2008785|119069|206349|70774|297
k__bacteria|p__proteobacteria|c__gammaproteobacteria|o__pseudomonadales|f__pseudomonadaceae|g__pseudomonas|s__pseudomonas_mendocina	2|1224|1236|72274|135621|286|300
k__bacteria|p__proteobacteria|c__gammaproteobacteria|o__pseudomonadales|f__pseudomonadaceae|g__pseudomonas|s__pseudomonas_oleovorans	2|1224|1236|72274|135621|286|301
k__bacteria|p__proteobacteria|c__gammaproteobacteria|o__pseudomonadales|f__pseudomonadaceae|g__pseudomonas|s__pseudomonas_putida	2|1224|1236|72274|135621|286|303
k__bacteria|p__proteobacteria|c__betaproteobacteria|o__burkholderiales|f__burkholderiaceae|g__ralstonia|s__ralstonia_solanacearum	2|1224|28216|80840|119060|48736|305
k__bacteria|p__proteobacteria|c__gammaproteobacteria|o__pseudomonadales|f__pseudomonadaceae|g__stutzerimonas|s__stutzerimonas_stutzeri	2|1224|1236|72274|135621|2901164|316
k__bacteria|p__proteobacteria|c__gammaproteobacteria|o__pseudomonadales|f__pseudomonadaceae|g__pseudomonas|s__pseudomonas_syringae	2|1224|1236|72274|135621|286|317
k__bacteria|p__proteobacteria|c__gammaproteobacteria|o__pseudomonadales|f__pseudomonadaceae|g__pseudomonas|s__pseudomonas_syringae	2|1224|1236|72274|135621|286|317|321
k__bacteria|p__proteobacteria|c__gammaproteobacteria|o__pseudomonadales|f__pseudomonadaceae|g__pseudomonas|s__pseudomonas_amygdali	2|1224|1236|72274|135621|286|47877|322
k__bacteria|p__proteobacteria|c__gammaproteobacteria|o__pseudomonadales|f__pseudomonadaceae|g__pseudomonas|s__pseudomonas_syringae_group_genomosp._3	2|1224|1236|72274|135621|286|251701|323
k__bacteria|p__proteobacteria|c__betaproteobacteria|o__burkholderiales|f__burkholderiaceae|g__ralstonia|s__ralstonia_pickettii	2|1224|28216|80840|119060|48736|329
k__viruses|k__orthornavirae|p__negarnaviricota|c__ellioviricetes|o__bunyavirales|f__phenuiviridae|g__phlebovirus|s__itaituba_phlebovirus	10239|2732396|2497569|2497576|1980410|1980418|11584|2734451|655689
k__viruses|k__orthornavirae|p__negarnaviricota|c__ellioviricetes|o__bunyavirales|f__phenuiviridae|g__phlebovirus|s__oriximina_phlebovirus	10239|2732396|2497569|2497576|1980410|1980418|11584|2734466|655691
k__bacteria|p__proteobacteria|c__gammaproteobacteria|o__pseudomonadales|f__pseudomonadaceae|g__pseudomonas|s__pseudomonas_chlororaphis	2|1224|1236|72274|135621|286|587753|333
k__bacteria|p__proteobacteria|c__betaproteobacteria|o__burkholderiales|f__burkholderiaceae|g__burkholderia|s__burkholderia_glumae	2|1224|28216|80840|119060|32008|337
k__bacteria|p__proteobacteria|c__gammaproteobacteria|o__xanthomonadales|f__xanthomonadaceae|g__xanthomonas|s__xanthomonas_campestris	2|1224|1236|135614|32033|338|339
k__bacteria|p__proteobacteria|c__gammaproteobacteria|o__xanthomonadales|f__xanthomonadaceae|g__xanthomonas|s__xanthomonas_campestris	2|1224|1236|135614|32033|338|339|340
k__bacteria|p__proteobacteria|c__gammaproteobacteria|o__xanthomonadales|f__xanthomonadaceae|g__xanthomonas|s__xanthomonas_translucens	2|1224|1236|135614|32033|338|343
k__bacteria|p__proteobacteria|c__gammaproteobacteria|o__chromatiales|f__ectothiorhodospiraceae|g__ectothiorhodospira|s__ectothiorhodospira_sp._bsl-9	2|1224|1236|135613|72276|1051|1442136
k__bacteria|p__proteobacteria|c__gammaproteobacteria|o__xanthomonadales|f__xanthomonadaceae|g__xanthomonas|s__xanthomonas_citri	2|1224|1236|135614|32033|338|346
k__bacteria|p__proteobacteria|c__gammaproteobacteria|o__xanthomonadales|f__xanthomonadaceae|g__xanthomonas|s__xanthomonas_oryzae	2|1224|1236|135614|32033|338|347
k__viruses|k__heunggongvirae|p__uroviricota|c__caudoviricetes|g__lubbockvirus|s__lubbockvirus_cd119	10239|2731360|2731618|2731619|1912144|320122|2883936
k__bacteria|p__proteobacteria|c__gammaproteobacteria|o__pseudomonadales|f__pseudomonadaceae|g__azotobacter|s__azotobacter_chroococcum	2|1224|1236|72274|135621|352|353
k__viruses|k__heunggongvirae|p__uroviricota|c__caudoviricetes|g__stanholtvirus|s__stanholtvirus_e125	10239|2731360|2731618|2731619|1623297|180504|2883940
k__viruses|k__heunggongvirae|p__uroviricota|c__caudoviricetes|f__peduoviridae|g__tigrvirus|s__tigrvirus_e202	10239|2731360|2731618|2731619|2946167|2733083|431893|2883941
k__bacteria|p__proteobacteria|c__alphaproteobacteria|o__hyphomicrobiales|f__rhizobiaceae|g__agrobacterium|s__agrobacterium_tumefaciens	2|1224|28211|356|82115|357|358
k__bacteria|p__proteobacteria|c__alphaproteobacteria|o__hyphomicrobiales|f__rhizobiaceae|g__agrobacterium|s__agrobacterium_rhizogenes	2|1224|28211|356|82115|357|359
k__viruses|k__heunggongvirae|p__uroviricota|c__caudoviricetes|g__bcepmuvirus|s__bcepmuvirus_e255	10239|2731360|2731618|2731619|1198139|431894|2883942
k__viruses|k__heunggongvirae|p__uroviricota|c__caudoviricetes|g__naesvirus|s__naesvirus_bcep1	10239|2731360|2731618|2731619|2733115|244310|2883943
k__viruses|k__heunggongvirae|p__uroviricota|c__caudoviricetes|g__lessievirus|s__lessievirus_bcep22	10239|2731360|2731618|2731619|1720323|242527|2883944
k__viruses|k__heunggongvirae|p__uroviricota|c__caudoviricetes|g__naesvirus|s__naesvirus_bcep43	10239|2731360|2731618|2731619|2733115|260373|2883945
k__viruses|k__heunggongvirae|p__uroviricota|c__caudoviricetes|g__naesvirus|s__naesvirus_bcep781	10239|2731360|2731618|2731619|2733115|209052|2883946
k__viruses|k__heunggongvirae|p__uroviricota|c__caudoviricetes|g__ryyoungvirus|s__ryyoungvirus_bcepc6b	10239|2731360|2731618|2731619|2733147|279280|2883949
k__bacteria|p__verrucomicrobia|c__spartobacteria|g__xiphinematobacter|s__xiphinematobacter_sp._idaho_grape	2|74201|134549|134550|1704307
k__bacteria|p__proteobacteria|c__alphaproteobacteria|o__hyphomicrobiales|f__rhizobiaceae|g__agrobacterium|s__agrobacterium_vitis	2|1224|28211|356|82115|357|373
k__bacteria|p__proteobacteria|c__alphaproteobacteria|o__hyphomicrobiales|f__nitrobacteraceae|g__bradyrhizobium|s__bradyrhizobium_japonicum	2|1224|28211|356|41294|374|375
k__bacteria|p__proteobacteria|c__alphaproteobacteria|o__hyphomicrobiales|f__nitrobacteraceae|g__bradyrhizobium|s__bradyrhizobium_sp.	2|1224|28211|356|41294|374|376
k__bacteria|p__proteobacteria|c__gammaproteobacteria|o__oceanospirillales|f__alcanivoracaceae|g__alcanivorax|s__alcanivorax_borkumensis	2|1224|1236|135619|224372|59753|59754|393595
k__bacteria|p__proteobacteria|c__alphaproteobacteria|o__hyphomicrobiales|f__rhizobiaceae|g__sinorhizobium|s__sinorhizobium_fredii	2|1224|28211|356|82115|28105|380
k__bacteria|p__proteobacteria|c__alphaproteobacteria|o__hyphomicrobiales|f__phyllobacteriaceae|g__mesorhizobium|s__mesorhizobium_loti	2|1224|28211|356|69277|68287|381
k__bacteria|p__proteobacteria|c__alphaproteobacteria|o__hyphomicrobiales|f__rhizobiaceae|g__sinorhizobium|s__sinorhizobium_meliloti	2|1224|28211|356|82115|28105|382
k__viruses|k__shotokuvirae|p__cressdnaviricota|c__repensiviricetes|o__geplafuvirales|f__geminiviridae|g__begomovirus|s__east_african_cassava_mosaic_kenya_virus	10239|2732092|2732416|2732424|2732539|10811|10814|393599
k__bacteria|p__proteobacteria|c__alphaproteobacteria|o__hyphomicrobiales|f__rhizobiaceae|g__rhizobium|s__rhizobium_leguminosarum	2|1224|28211|356|82115|379|384
k__bacteria|p__proteobacteria|c__alphaproteobacteria|o__hyphomicrobiales|f__rhizobiaceae|g__rhizobium|s__rhizobium_leguminosarum	2|1224|28211|356|82115|379|384|386
k__bacteria|p__proteobacteria|c__alphaproteobacteria|o__hyphomicrobiales|f__rhizobiaceae|g__rhizobium|s__rhizobium_leguminosarum	2|1224|28211|356|82115|379|384|387
k__bacteria|p__proteobacteria|c__alphaproteobacteria|o__hyphomicrobiales|f__rhizobiaceae|g__rhizobium|s__rhizobium_phaseoli	2|1224|28211|356|82115|379|396
k__bacteria|p__proteobacteria|c__alphaproteobacteria|o__hyphomicrobiales|f__rhizobiaceae|g__neorhizobium|s__neorhizobium_galegae	2|1224|28211|356|82115|1525371|399
k__bacteria|p__firmicutes|c__bacilli|o__bacillales|g__exiguobacterium|s__exiguobacterium_sibiricum	2|1239|91061|1385|33986|332410|262543
k__bacteria|p__proteobacteria|c__alphaproteobacteria|o__hyphomicrobiales|f__methylobacteriaceae|g__methylorubrum|s__methylorubrum_extorquens	2|1224|28211|356|119045|2282523|408
k__bacteria|p__proteobacteria|c__alphaproteobacteria|o__hyphomicrobiales|f__methylobacteriaceae|g__methylobacterium|s__methylobacterium_organophilum	2|1224|28211|356|119045|407|410
k__bacteria|p__proteobacteria|c__gammaproteobacteria|o__methylococcales|f__methylococcaceae|g__methylococcus|s__methylococcus_capsulatus	2|1224|1236|135618|403|413|414
