Taxa	TaxID
k__Archaea|p__Crenarchaeota|c__CFGB275|o__OFGB275|f__FGB275|g__GGB655|s__GGB655_SGB847|t__SGB847	2157|28889|c__cfgb275|o__ofgb275|f__fgb275|g__ggb655|s__ggb655_sgb847
k__Archaea|p__Crenarchaeota|c__CFGB293|o__OFGB293|f__FGB293	2157|28889|c__cfgb293|o__ofgb293|f__fgb293
k__Archaea|p__Crenarchaeota|c__CFGB293|o__OFGB293|f__FGB293|g__GGB709	2157|28889|c__cfgb293|o__ofgb293|f__fgb293|g__ggb709
k__Archaea|p__Crenarchaeota|c__CFGB293|o__OFGB293|f__FGB293|g__GGB709|s__GGB709_SGB921|t__SGB921	2157|28889|c__cfgb293|o__ofgb293|f__fgb293|g__ggb709|s__ggb709_sgb921
k__Archaea|p__Crenarchaeota|c__CFGB32134|o__OFGB32134|f__FGB32134	2157|28889|c__cfgb32134|o__ofgb32134|f__fgb32134
k__Archaea|p__Crenarchaeota|c__CFGB32134|o__OFGB32134|f__FGB32134|g__GGB41568	2157|28889|c__cfgb32134|o__ofgb32134|f__fgb32134|g__ggb41568
k__Archaea|p__Crenarchaeota|c__CFGB32134|o__OFGB32134|f__FGB32134|g__GGB41568|s__GGB41568_SGB58643|t__SGB58643	2157|28889|c__cfgb32134|o__ofgb32134|f__fgb32134|g__ggb41568|s__ggb41568_sgb58643
k__Archaea|p__Crenarchaeota|c__CFGB34516|o__OFGB34516|f__FGB34516	2157|28889|c__cfgb34516|o__ofgb34516|f__fgb34516
k__Archaea|p__Crenarchaeota|c__CFGB34516|o__OFGB34516|f__FGB34516|g__GGB41665	2157|28889|c__cfgb34516|o__ofgb34516|f__fgb34516|g__ggb41665
k__Archaea|p__Crenarchaeota|c__CFGB34516|o__OFGB34516|f__FGB34516|g__GGB41665|s__GGB41665_SGB58748|t__SGB58748	2157|28889|c__cfgb34516|o__ofgb34516|f__fgb34516|g__ggb41665|s__ggb41665_sgb58748
k__Archaea|p__Crenarchaeota|c__CFGB36595|o__OFGB36595|f__FGB36595|g__GGB41539	2157|28889|c__cfgb36595|o__ofgb36595|f__fgb36595|g__ggb41539
k__Archaea|p__Crenarchaeota|c__CFGB36595|o__OFGB36595|f__FGB36595|g__GGB41539|s__GGB41539_SGB58607|t__SGB58607	2157|28889|c__cfgb36595|o__ofgb36595|f__fgb36595|g__ggb41539|s__ggb41539_sgb58607
k__Archaea|p__Crenarchaeota|c__CFGB39659|o__OFGB39659|f__FGB39659|g__GGB41531	2157|28889|c__cfgb39659|o__ofgb39659|f__fgb39659|g__ggb41531
k__Archaea|p__Crenarchaeota|c__CFGB39659|o__OFGB39659|f__FGB39659|g__GGB41531|s__GGB41531_SGB58599|t__SGB58599	2157|28889|c__cfgb39659|o__ofgb39659|f__fgb39659|g__ggb41531|s__ggb41531_sgb58599
k__Archaea|p__Crenarchaeota|c__CFGB39660|o__OFGB39660|f__FGB39660|g__GGB41533	2157|28889|c__cfgb39660|o__ofgb39660|f__fgb39660|g__ggb41533
