Taxa	reSRR16235394	reSRR16235395	reSRR16235396	reSRR16235397	reSRR16235398	reSRR16235399	reSRR16235400	reSRR16235401	reSRR16235402	reSRR16235403	reSRR16235404	reSRR16235405	reSRR16235406	reSRR16235407	reSRR16235408	reSRR16235409
k__archaea|p__crenarchaeota|c__thermoprotei|o__acidilobales	0.000254313109315752	0.000378070404270683	0.000206925930016835	0.000261622506883479	0.00013907201053551	0.000538280254470645	0.000286403941067657	0.000161398154059967	0.000536310155027422	0.000318903296231139	0.000224844957456945	0.000218234938118416	0.000405197592844422	0.000425203642172912	0.000353637087036448	0.000302549130921184
k__archaea|p__crenarchaeota|c__thermoprotei|o__acidilobales|f__acidilobaceae	8.20364868760489e-05	0.000216040231011819	2.19466895472401e-05	7.41076628940327e-05	4.26975470942355e-05	9.08347929419213e-05	3.73570357914336e-05	5.13539581099895e-05	0.000257428874413163	0.000237232939879262	7.30746111735071e-05	0.000104373231274025	0.000329694935792666	0.000280094462701204	0.000110865631405019	9.37994266077836e-05
k__archaea|p__crenarchaeota|c__thermoprotei|o__acidilobales|f__acidilobaceae|g__acidilobus	8.20364868760489e-05	0.000216040231011819	2.19466895472401e-05	7.41076628940327e-05	4.26975470942355e-05	9.08347929419213e-05	3.73570357914336e-05	5.13539581099895e-05	0.000257428874413163	0.000237232939879262	7.30746111735071e-05	0.000104373231274025	0.000329694935792666	0.000280094462701204	0.000110865631405019	9.37994266077836e-05
k__archaea|p__crenarchaeota|c__thermoprotei|o__acidilobales|f__acidilobaceae|g__acidilobus|s__acidilobus_saccharovorans	4.92218921256294e-05	9.28972993350822e-05	1.56762068194572e-05	4.82822652188395e-05	1.95188786716505e-05	6.05565286279475e-05	3.1130863159528e-05	3.30132587849932e-05	0.000112625132555759	0.000175007906468308	4.4968991491389e-05	5.93029723147869e-05	0.000191273397864448	0.000131610651148758	6.47390548350476e-05	5.24173266337614e-05
k__archaea|p__crenarchaeota|c__thermoprotei|o__acidilobales|f__acidilobaceae|g__acidilobus|s__acidilobus_sp._7a	3.28145947504196e-05	0.000123142931676737	6.27048272778289e-06	2.58253976751932e-05	2.3178668422585e-05	3.02782643139738e-05	6.22617263190559e-06	1.83406993249962e-05	0.000144803741857404	6.22250334109539e-05	2.81056196821181e-05	4.50702589592381e-05	0.000138421537928219	0.000148483811552445	4.53173383845333e-05	3.67840888657975e-05
k__archaea|p__crenarchaeota|c__thermoprotei|o__acidilobales|f__caldisphaeraceae	0.000172276622439703	0.000162030173258864	0.000184979240469595	0.000187514843989446	9.63744634412744e-05	0.000447445461528723	0.000249046905276224	0.000110044195949977	0.00027888128061426	8.1670356351877e-05	0.000151770346283438	0.000113861706844391	7.55026570517556e-05	0.000145109179471708	0.000242771455631429	0.000208749704313401
k__archaea|p__crenarchaeota|c__thermoprotei|o__acidilobales|f__caldisphaeraceae|g__caldisphaera	0.000172276622439703	0.000162030173258864	0.000184979240469595	0.000187514843989446	9.63744634412744e-05	0.000447445461528723	0.000249046905276224	0.000110044195949977	0.00027888128061426	8.1670356351877e-05	0.000151770346283438	0.000113861706844391	7.55026570517556e-05	0.000145109179471708	0.000242771455631429	0.000208749704313401
k__archaea|p__crenarchaeota|c__thermoprotei|o__acidilobales|f__caldisphaeraceae|g__caldisphaera|s__caldisphaera_lagunensis	0.000172276622439703	0.000162030173258864	0.000184979240469595	0.000187514843989446	9.63744634412744e-05	0.000447445461528723	0.000249046905276224	0.000110044195949977	0.00027888128061426	8.1670356351877e-05	0.000151770346283438	0.000113861706844391	7.55026570517556e-05	0.000145109179471708	0.000242771455631429	0.000208749704313401
k__archaea|p__crenarchaeota|c__thermoprotei|o__desulfurococcales	0.000607070002882762	0.000643799888415221	0.000840244685522907	0.000945434123587508	0.000735617739937829	0.00147017794502295	0.000977509103209178	0.000935375665574808	0.000879548654244973	0.000641695657050462	0.000281056196821181	0.000450702589592381	0.000520968333657114	0.000745793689842965	0.001019640113652	0.001170653628154
k__archaea|p__crenarchaeota|c__thermoprotei|o__desulfurococcales|f__desulfurococcaceae	0.00041838608306785	0.000496892531327184	0.000639589238233855	0.000773639086878614	0.000574586990896712	0.0011337527859788	0.000865437995834877	0.000759304952054844	0.000772286623239488	0.0004044627171712	0.00021641327155231	0.000310747574929483	0.000156038824573628	0.00057031282164462	0.000839179998299305	0.00102811528379904
