clade_name	reSRR9697535_taxonomic_profile	reSRR9697536_taxonomic_profile	reSRR9697537_taxonomic_profile	reSRR9697538_taxonomic_profile	reSRR9697539_taxonomic_profile	reSRR9697540_taxonomic_profile	reSRR9697541_taxonomic_profile	reSRR9697542_taxonomic_profile	reSRR9697543_taxonomic_profile	reSRR9697544_taxonomic_profile	reSRR9697545_taxonomic_profile	reSRR9697546_taxonomic_profile	reSRR9697547_taxonomic_profile	reSRR9697548_taxonomic_profile	reSRR9697549_taxonomic_profile	reSRR9697550_taxonomic_profile	reSRR9697551_taxonomic_profile	reSRR9697552_taxonomic_profile	reSRR9697553_taxonomic_profile	reSRR9697554_taxonomic_profile	reSRR9697555_taxonomic_profile	reSRR9697556_taxonomic_profile	reSRR9697557_taxonomic_profile	reSRR9697558_taxonomic_profile	reSRR9697559_taxonomic_profile	reSRR9697560_taxonomic_profile	reSRR9697561_taxonomic_profile	reSRR9697562_taxonomic_profile	reSRR9697563_taxonomic_profile	reSRR9697564_taxonomic_profile	reSRR9697566_taxonomic_profile	reSRR9697567_taxonomic_profile	reSRR9697568_taxonomic_profile	reSRR9697569_taxonomic_profile
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanoregulaceae|g__Methanoregula|s__Unclassified_Methanoregula	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0106326422115896	0	0	0	0	0	0.0292483182217023	0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanoregulaceae|g__Methanoregula|s__Unclassified_Methanoregula|t__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0106326422115896	0	0	0	0	0	0.0292483182217023	0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Unclassified_Methanomicrobiales	0.0223164472216023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Unclassified_Methanomicrobiales|g__	0.0223164472216023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Unclassified_Methanomicrobiales|g__|s__	0.0223164472216023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Unclassified_Methanomicrobiales|g__|s__|t__	0.0223164472216023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales	0.0223164472216023	0.0947867298578199	0.0228911525695319	0.0286532951289398	0	0	0	0	0.0602409638554217	0	0.11353711790393	0.0853060354020047	0.0940733772342427	0	0	0	0	0	0.214263850627487	0.453277545327754	0	0	0.0559440559440559	0	0	0	0.0106326422115896	0	0.0701098387473709	0	0	0	0	0.00882768361581921
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosaetaceae	0	0.0758293838862559	0.00572278814238297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12243648607285	0.0348675034867503	0	0	0	0	0	0	0	0	0.0233699462491236	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosaetaceae|g__Methanosaeta	0	0.0758293838862559	0.00572278814238297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12243648607285	0.0348675034867503	0	0	0	0	0	0	0	0	0.0233699462491236	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosaetaceae|g__Methanosaeta|s__Unclassified_Methanosaeta	0	0.0758293838862559	0.00572278814238297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0918273645546373	0.0348675034867503	0	0	0	0	0	0	0	0	0.0233699462491236	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosaetaceae|g__Methanosaeta|s__Unclassified_Methanosaeta|t__	0	0.0758293838862559	0.00572278814238297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0233699462491236	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosaetaceae|g__Methanosaeta|s__toluene-degrading_methanogenic_consortium_archaeon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0306091215182124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae	0.0223164472216023	0	0.0114455762847659	0.0286532951289398	0	0	0	0	0.0602409638554217	0	0.11353711790393	0.0853060354020047	0.0940733772342427	0	0	0	0	0	0.0918273645546373	0.383542538354254	0	0	0.0559440559440559	0	0	0	0.0106326422115896	0	0.0233699462491236	0	0	0	0	0.00882768361581921
