clade_name	reSRR3584976_taxonomic_profile	reSRR3584977_taxonomic_profile	reSRR3584978_taxonomic_profile	reSRR3584979_taxonomic_profile	reSRR3584980_taxonomic_profile	reSRR3584981_taxonomic_profile	reSRR3584982_taxonomic_profile	reSRR3584983_taxonomic_profile	reSRR3584984_taxonomic_profile	reSRR3584985_taxonomic_profile	reSRR3584986_taxonomic_profile	reSRR3584987_taxonomic_profile
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Unclassified_Methanomicrobiales|g__|s__|t__	0	0	0	0.0639795265515035	0	0	0	0.129785853341986	0	0	0.0591715976331361	0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales	0.198807157057654	0.233644859813084	0.072463768115942	0.0639795265515035	0.0528262017960909	0.0705218617771509	0.16597510373444	0	0	0.408163265306122	0	0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae	0.198807157057654	0.233644859813084	0	0.0639795265515035	0.0528262017960909	0.0705218617771509	0.16597510373444	0	0	0.408163265306122	0	0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanosarcina	0	0	0	0	0.0528262017960909	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanosarcina|s__Unclassified_Methanosarcina	0	0	0	0	0.0528262017960909	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanosarcina|s__Unclassified_Methanosarcina|t__	0	0	0	0	0.0528262017960909	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Unclassified_Methanosarcinaceae	0.198807157057654	0.233644859813084	0	0.0639795265515035	0	0.0705218617771509	0.16597510373444	0	0	0.408163265306122	0	0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Unclassified_Methanosarcinaceae|s__	0.198807157057654	0.233644859813084	0	0.0639795265515035	0	0.0705218617771509	0.16597510373444	0	0	0.408163265306122	0	0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Unclassified_Methanosarcinaceae|s__|t__	0	0	0	0.0639795265515035	0	0.0705218617771509	0.16597510373444	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Unclassified_Methanosarcinales	0	0	0.072463768115942	0	0	0	0	0	0	0	0	0
