Taxa	reERR5004402	reERR5004403	reERR5004404	reERR5004405	reERR5004406	reERR5004407	reERR5004408	reERR5004409	reERR5004410	reERR5004787	reERR5004789	reERR5004790	reERR5004793	reERR5004796	reERR5004798	reERR5004799	reERR5004803	reERR5004804	reERR5004806	reERR5004807
k__archaea|p__candidatus_thermoplasmatota|g__aciduliprofundum|s__aciduliprofundum_boonei	0.00037250518882796	0.000298212415378085	5.1022542779851e-05	0.000377355073010659	5.03623825234475e-05	0.000159312280746474	0.000138855235779662	0.000314224964125983	0.000245582410966728	7.31538091892889e-05	0	0	0.000517582269701769	0.00010969747629986	0	0.000182093308253015	0.0002906647211508	0.000413515335216206	0	0
k__archaea|p__crenarchaeota	0.0142737215537259	0.0140822529484096	0.0113270044971269	0.0146791123401147	0.0119862470405805	0.011789108775239	0.0127052540738391	0.0168634064080944	0.0136122822078701	0.00816342322545657	0.0105422552759196	0.0121672820580777	0.0147510946865004	0.0153027979438305	0.012880395360346	0.00746582563837361	0.00924313813259543	0.0148865520677834	0.0126889927867956	0.0131156594070341
k__archaea|p__crenarchaeota|c__thermoprotei	0.0142737215537259	0.0140822529484096	0.0113270044971269	0.0146791123401147	0.0119862470405805	0.011789108775239	0.0127052540738391	0.0168634064080944	0.0136122822078701	0.00816342322545657	0.0105422552759196	0.0121672820580777	0.0147510946865004	0.0153027979438305	0.012880395360346	0.00746582563837361	0.00924313813259543	0.0148865520677834	0.0126889927867956	0.0131156594070341
k__archaea|p__crenarchaeota|c__thermoprotei|o__acidilobales	0.000965127080145169	0.000530155405116596	0.000561247970578361	0.000452826087612791	0.00120869718056274	0.000876217544105605	0.000694276178898309	0.000837933237669289	0.000701664031333509	0.000596068074875687	0.000821474437084642	0.000722808835133328	0.00207032907880708	0.00131636971559832	0.000677915545281369	0.000546279924759045	0.0005813294423016	0.000413515335216206	0.000488038184107525	0.00138059572705622
k__archaea|p__crenarchaeota|c__thermoprotei|o__acidilobales|f__acidilobaceae	0.000507961621129036	9.94041384593618e-05	0.000408180342238808	0.000226413043806396	0.000906522885422054	0.00075673333354575	0.000485993325228816	0.000523708273543305	0.000280665612533404	0.000484982660921582	0.000547649624723095	0.000722808835133328	0.00181153794395619	0.00115182350114853	0.000338957772640684	0.000546279924759045	0.00034879766538096	0.000413515335216206	0.000488038184107525	0.00138059572705622
k__archaea|p__crenarchaeota|c__thermoprotei|o__acidilobales|f__acidilobaceae|g__acidilobus	0.000507961621129036	9.94041384593618e-05	0.000408180342238808	0.000226413043806396	0.000906522885422054	0.00075673333354575	0.000485993325228816	0.000523708273543305	0.000280665612533404	0.000484982660921582	0.000547649624723095	0.000722808835133328	0.00181153794395619	0.00115182350114853	0.000338957772640684	0.000546279924759045	0.00034879766538096	0.000413515335216206	0.000488038184107525	0.00138059572705622
k__archaea|p__crenarchaeota|c__thermoprotei|o__acidilobales|f__acidilobaceae|g__acidilobus|s__acidilobus_saccharovorans	0.000237048756526884	9.94041384593618e-05	0.000306135256679106	3.7735507301066e-05	0.000302174295140685	0.000557592982612658	0.000347138089449154	0.000104741654708661	0.000140332806266702	0.000227589628588899	0.000273824812361547	0.000481872556755552	0.00103516453940354	0.000603336119649231	0	0.000273139962379523	0.00023253177692064	0.000413515335216206	0.000244019092053762	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__acidilobales|f__acidilobaceae|g__acidilobus|s__acidilobus_sp._7a	0.000253980810564518	0	0.000102045085559702	0.00018867753650533	0.000553986207757922	0.000199140350933092	0.000138855235779662	0.000418966618834644	0.000140332806266702	0.000230299028929243	0.000273824812361547	0.000240936278377776	0.000776373404552654	0.000548487381499301	0.000338957772640684	0.000273139962379523	0.00011626588846032	0	0.000244019092053762	0.00138059572705622
k__archaea|p__crenarchaeota|c__thermoprotei|o__acidilobales|f__caldisphaeraceae	0.000457165459016132	0.000430751266657234	0.000153067628339553	0.000226413043806396	0.000302174295140685	0.000119484210559855	0.000138855235779662	0.000314224964125983	0.000420998418800105	9.48290119120412e-05	0.000273824812361547	0	0.000258791134850885	0.00010969747629986	0.000338957772640684	0	0.00023253177692064	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__acidilobales|f__caldisphaeraceae|g__caldisphaera	0.000457165459016132	0.000430751266657234	0.000153067628339553	0.000226413043806396	0.000302174295140685	0.000119484210559855	0.000138855235779662	0.000314224964125983	0.000420998418800105	9.48290119120412e-05	0.000273824812361547	0	0.000258791134850885	0.00010969747629986	0.000338957772640684	0	0.00023253177692064	0	0	0
