X.mOTUs2_clade	reSRR9320187	reSRR9320188	reSRR9320191	reSRR9320192	reSRR9320193	reSRR9320194	reSRR9320195	reSRR9320196	reSRR9320197	reSRR9320198	reSRR9320199
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	0.0084707598	0.0285103737	0.0637464542	0.0168942324	0.0826553723	0.0309643154	0.207548083	0.087525512	0.103100228	0.0460890724	0.0610084837
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	0	0	0	0	0.0247980142	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae	0	0	0	0	0.0247980142	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Caulobacter	0	0	0	0	0.0062505703	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Caulobacter|s__Caulobacter sp. Root655	0	0	0	0	0.0062505703	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Phenylobacterium	0	0	0	0	0.0185474439	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Phenylobacterium|s__Phenylobacterium sp. Root700	0	0	0	0	0.0185474439	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales	0.0084707598	0.0285103737	0.0637464542	0.0168942324	0.0297927445	0	0.0119843723	0	0.0292295193	0.0119662758	0.0136183161
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae	0.0084707598	0.0285103737	0.0637464542	0.0168942324	0.0297927445	0	0.0066973388	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Bradyrhizobium	0.0084707598	0.0160236875	0.0637464542	0.0168942324	0.0297927445	0	0.0066973388	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Bradyrhizobium|s__Bradyrhizobium erythrophlei	0.0084707598	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Bradyrhizobium|s__Bradyrhizobium erythrophlei	0	0	0.0189270945	0	0.0297927445	0	0	0	0	0	0
