Taxonomy	reSRR9320187	reSRR9320188	reSRR9320191	reSRR9320192	reSRR9320193	reSRR9320194	reSRR9320195	reSRR9320196	reSRR9320197	reSRR9320198	reSRR9320199
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Ferrovaceae|g__CAIVUX01	0	0	0	0	0	0	1.86187656053623	1.50963381437186	0.699780429816793	0.979603028617742	0.707560676584287
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Gallionellaceae	0	0.832035672675019	0	0	0	0	2.7544456240276	2.05333160407502	0	0	0.714617474488213
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Gallionellaceae|g__Gallionella	0	0	0	0	0	0	0.798332490648724	0.546933925781626	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Gallionellaceae|g__Sideroxydans	0	0.832035672675019	0	0	0	0	1.95611313337888	1.50639767829339	0	0	0.714617474488213
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Sulfuriferulaceae	0	0	0	0	0	0	0.721636020664176	0.373130548554124	0.4574230625011	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Sulfuriferulaceae|g__Sulfuriferula_A	0	0	0	0	0	0	0.721636020664176	0.373130548554124	0.4574230625011	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__CAIRSR01	0.987776389769179	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__CAIRSR01|f__CAIRSR01	0.987776389769179	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__REEB76	0	0.894880141714597	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__REEB76|f__REEB76	0	0.894880141714597	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Steroidobacterales	1.35417021241203	0	0	1.09494085360307	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Steroidobacterales|f__Steroidobacteraceae	1.35417021241203	0	0	1.09494085360307	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Steroidobacterales|f__Steroidobacteraceae|g__JABEVI01	1.35417021241203	0	0	1.09494085360307	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	0	0	0	0	0	0	0.487097436498258	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Rhodanobacteraceae	0	0	0	0	0	0	0.487097436498258	0	0	0	0
UNKNOWN	89.1573597976535	87.0772850453899	98.639583267193	88.9762389947728	96.5071386990067	98.9899990661389	82.8496892606308	85.3970721972115	86.8960000993536	91.0865772025892	87.9512270389531
