clade_name	reSRR16235394_taxonomic_profile	reSRR16235395_taxonomic_profile	reSRR16235396_taxonomic_profile	reSRR16235397_taxonomic_profile	reSRR16235398_taxonomic_profile	reSRR16235399_taxonomic_profile	reSRR16235400_taxonomic_profile	reSRR16235401_taxonomic_profile	reSRR16235402_taxonomic_profile	reSRR16235403_taxonomic_profile	reSRR16235404_taxonomic_profile	reSRR16235405_taxonomic_profile	reSRR16235406_taxonomic_profile	reSRR16235407_taxonomic_profile	reSRR16235408_taxonomic_profile	reSRR16235409_taxonomic_profile
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_matruchotii_ATCC_33806	0	0	0	0	0	0.000586499944282505	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_pyruviciproducens	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00153798831128883	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_sp._3105	0	0	0.000451232994156533	0.000152457616782534	0.00034986442753433	0	0	0	0	0	0	0.000433273685989229	0	0	0.000127270991759203	0.000116998885000626
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_sp._NML_97-0186	0	0.000516001197122777	0	0	0	0	0	0	0	0.00382406253107051	0	0	0	0.00307597662257767	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_tuberculostearicum	0	0	0	0	0.000174932213767165	0	0	0	0	0	0	0	0	0	0	0.000233997770001252
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Unclassified_Corynebacterium	0.00392703567711913	0.00361200837985944	0.00541479592987839	0.00533601658738871	0.0108457972535642	0.00117299988856501	0	0.00249932830551789	0.00732804736849819	0.00458887503728461	0	0.00129982105796769	0.00720639928256292	0.00615195324515534	0.000890896942314423	0.00292497212501565
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Dietziaceae	0	0.00154800359136833	0	0	0	0	0	0	0	0	0.000502063480906526	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Dietziaceae|g__Dietzia	0	0.00154800359136833	0	0	0	0	0	0	0	0	0.000502063480906526	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Dietziaceae|g__Dietzia|s__Unclassified_Dietzia	0	0.00154800359136833	0	0	0	0	0	0	0	0	0.000502063480906526	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae	0.00392703567711913	0.000516001197122777	0.00315863095909573	0.000457372850347603	0.00699728855068661	0.00234599977713002	0.00214532426576277	0	0	0	0	0.000866547371978458	0.00160142206279176	0.000768994155644417	0.00267269082694327	0.000350996655001878
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycobacterium	0.00392703567711913	0.000516001197122777	0.00315863095909573	0.000457372850347603	0.00699728855068661	0.00234599977713002	0.00214532426576277	0	0	0	0	0.000866547371978458	0.00080071103139588	0.000768994155644417	0.00267269082694327	0.000350996655001878
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycobacterium|s__Mycobacterium_botniense	0	0	0	0	0	0	0	0	0	0	0	0	0.00080071103139588	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycobacterium|s__Unclassified_Mycobacterium	0.00392703567711913	0.000516001197122777	0.00315863095909573	0.000457372850347603	0.00699728855068661	0.00234599977713002	0.00214532426576277	0	0	0	0	0.000866547371978458	0	0.000768994155644417	0.00267269082694327	0.000350996655001878
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Unclassified_Mycobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0.00080071103139588	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Unclassified_Mycobacteriaceae|s__	0	0	0	0	0	0	0	0	0	0	0	0	0.00080071103139588	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Nocardiaceae	0.00196351783855956	0	0	0	0.000174932213767165	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Nocardiaceae|g__Rhodococcus	0.00196351783855956	0	0	0	0.000174932213767165	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Nocardiaceae|g__Rhodococcus|s__Rhodococcus_sp._TUT1024	0	0	0	0	0.000174932213767165	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Nocardiaceae|g__Rhodococcus|s__Unclassified_Rhodococcus	0.00196351783855956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Unclassified_Corynebacteriales	0	0.00103200239424555	0	0.000457372850347603	0.000524796641301496	0	0	0	0.00293121894739928	0.0015296250124282	0.000502063480906526	0	0	0.000768994155644417	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Unclassified_Corynebacteriales|g__	0	0.00103200239424555	0	0.000457372850347603	0.000524796641301496	0	0	0	0.00293121894739928	0.0015296250124282	0.000502063480906526	0	0	0.000768994155644417	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Unclassified_Corynebacteriales|g__|s__	0	0.00103200239424555	0	0.000457372850347603	0.000524796641301496	0	0	0	0.00293121894739928	0.0015296250124282	0.000502063480906526	0	0	0.000768994155644417	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Frankiales	0	0	0	0	0.00034986442753433	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Frankiales|f__Frankiaceae	0	0	0	0	0.00034986442753433	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Frankiales|f__Frankiaceae|g__Frankia	0	0	0	0	0.00034986442753433	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Frankiales|f__Frankiaceae|g__Frankia|s__Unclassified_Frankia	0	0	0	0	0.00034986442753433	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Glycomycetales	0	0	0	0	0	0	0	0	0	0	0	0	0.00160142206279176	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Glycomycetales|f__Glycomycetaceae	0	0	0	0	0	0	0	0	0	0	0	0	0.00160142206279176	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Glycomycetales|f__Glycomycetaceae|g__Glycomyces	0	0	0	0	0	0	0	0	0	0	0	0	0.00160142206279176	0	0	0
