X.mOTUs2_clade	reERR5004402	reERR5004403	reERR5004404	reERR5004405	reERR5004406	reERR5004407	reERR5004408	reERR5004409	reERR5004410	reERR5004787	reERR5004789	reERR5004790	reERR5004793	reERR5004796	reERR5004798	reERR5004799	reERR5004803	reERR5004804	reERR5004806	reERR5004807
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae	0	0	0	0	0	0	0	0	0	0.0529361586	0	0.1811533998	0	0.1622550936	0	0.0467871781	0.1810432394	0	0	0.4178228501
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Halobellus	0	0	0	0	0	0	0	0	0	0.003062299	0	0	0	0	0	0.0155179299	0.0098605814	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Halobellus|s__Halobellus clavatus	0	0	0	0	0	0	0	0	0	0.0014411033	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Halobellus|s__Halobellus rufus	0	0	0	0	0	0	0	0	0	0.0016211957	0	0	0	0	0	0.0155179299	0.0098605814	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Haloferacaceae gen. incertae sedis	0	0	0	0	0	0	0	0	0	0.0104180547	0	0	0	0.0612834832	0	0.0156514175	0.0195559094	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Haloferacaceae gen. incertae sedis|s__Haloferacaceae species incertae sedis [ext_mOTU_v3_28324]	0	0	0	0	0	0	0	0	0	0.0036548444	0	0	0	0.0612834832	0	0	0.0122384843	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Haloferacaceae gen. incertae sedis|s__Haloferacaceae species incertae sedis [ext_mOTU_v3_28642]	0	0	0	0	0	0	0	0	0	0.0009589637	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Haloferacaceae gen. incertae sedis|s__Haloferacaceae species incertae sedis [ext_mOTU_v3_28643]	0	0	0	0	0	0	0	0	0	0.0058042465	0	0	0	0	0	0.0156514175	0.0073174251	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Haloferax	0	0	0	0	0	0	0	0	0	0.0053551301	0	0	0	0.0177127367	0	0	0.0262341175	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Haloferax|s__Haloferax larsenii/elongans	0	0	0	0	0	0	0	0	0	0.0011667322	0	0	0	0	0	0	0.0053095438	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Haloferax|s__Haloferax sp.	0	0	0	0	0	0	0	0	0	0.0041883979	0	0	0	0.0177127367	0	0	0.0209245737	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Halogeometricum	0	0	0	0	0	0	0	0	0	0.0041280542	0	0.1811533998	0	0.0408556555	0	0	0.013904554	0	0	0.4178228501
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Halogeometricum|s__Halogeometricum limi	0	0	0	0	0	0	0	0	0	0.0010928896	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Halogeometricum|s__Halogeometricum pallidum	0	0	0	0	0	0	0	0	0	0.0010299075	0	0.0915868346	0	0	0	0	0	0	0	0.4178228501
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Halogeometricum|s__Halogeometricum rufum	0	0	0	0	0	0	0	0	0	0.0020052572	0	0.0895665652	0	0.0408556555	0	0	0.013904554	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Halogranum	0	0	0	0	0	0	0	0	0	0.0033835149	0	0	0	0	0	0	0.0919406099	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Halogranum|s__Halogranum amylolyticum	0	0	0	0	0	0	0	0	0	0.0016600168	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Halogranum|s__Halogranum gelatinilyticum	0	0	0	0	0	0	0	0	0	0.0011367474	0	0	0	0	0	0	0.0919406099	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Halogranum|s__Halogranum rubrum/salarium	0	0	0	0	0	0	0	0	0	0.0005867507	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Halopelagius	0	0	0	0	0	0	0	0	0	0.0019755827	0	0	0	0	0	0	0.0099028109	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Halopelagius|s__Halopelagius inordinatus	0	0	0	0	0	0	0	0	0	0.0004015636	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Halopelagius|s__Halopelagius longus	0	0	0	0	0	0	0	0	0	0.0015740191	0	0	0	0	0	0	0.0099028109	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Haloplanus	0	0	0	0	0	0	0	0	0	0.0229733837	0	0	0	0.0424032182	0	0.0156178307	0.0096446563	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Haloplanus|s__Haloplanus natans	0	0	0	0	0	0	0	0	0	0.0172298394	0	0	0	0.0424032182	0	0.0156178307	0.0096446563	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Haloplanus|s__Haloplanus vescus	0	0	0	0	0	0	0	0	0	0.0057435442	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Haloprofundus	0	0	0	0	0	0	0	0	0	0.0016401394	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Haloprofundus|s__Haloprofundus marisrubri	0	0	0	0	0	0	0	0	0	0.0016401394	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae	0	0	0	0	0	0	0	0	0	0.7625119963	0.3910358603	0	0	0.5070952649	0.6332783554	0.8112584831	0.5422047671	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Candidatus Halobonum	0	0	0	0	0	0	0	0	0	0.0011367474	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Candidatus Halobonum|s__Candidatus Halobonum tyrrellensis	0	0	0	0	0	0	0	0	0	0.0011367474	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halobaculum	0	0	0	0	0	0	0	0	0	0.001173663	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halobaculum|s__Halobaculum gomorrense	0	0	0	0	0	0	0	0	0	0.001173663	0	0	0	0	0	0	0	0	0	0
